Target,Right Motor,Left Motor,Time (ms)
50,46.23,46.61,0.229
50,45.72,47.21,0.23
50,45.96,47.24,0.231
50,46.57,46.96,0.232
50,46.26,46.68,0.233
50,46.16,47.13,0.234
50,46.57,47.82,0.235
50,46.33,46.99,0.236
50,46.16,46.68,0.237
50,46.16,47.21,0.238
50,46.68,47.93,0.239
50,46.36,47.06,0.24
50,46.13,46.75,0.241
50,46.13,47.17,0.242
50,46.54,47.93,0.243
50,46.33,47.03,0.244
50,46.16,47.1,0.245
50,46.06,47.17,0.246
50,46.5,46.99,0.247
50,46.16,46.57,0.248
50,45.82,47.13,0.249
50,46.13,47.17,0.25
50,46.54,46.92,0.251
50,46.3,46.54,0.252
50,45.89,47.1,0.253
50,46.09,47.78,0.254
50,46.64,46.89,0.255
50,46.4,46.61,0.256
50,45.85,47.13,0.257
50,46.13,47.82,0.258
50,46.71,46.96,0.259
50,46.4,46.61,0.26
50,46.02,47.13,0.261
50,46.75,47.78,0.262
50,46.54,46.96,0.263
50,46.3,47.03,0.264
50,46.33,47.13,0.265
50,46.85,46.92,0.266
50,46.64,46.54,0.267
50,46.36,47.1,0.268
50,46.4,47.13,0.269
50,46.61,47.24,0.27
50,46.68,46.57,0.271
50,46.5,47.06,0.272
50,46.5,47.1,0.273
50,46.92,46.82,0.274
50,46.57,46.47,0.275
50,46.26,46.99,0.276
50,46.57,47.71,0.277
50,47.03,46.82,0.278
50,46.68,46.5,0.279
50,46.3,47.03,0.28
50,46.61,47.71,0.281
50,47.06,46.89,0.282
50,46.78,47.06,0.283
50,46.61,47.13,0.284
50,47.03,46.96,0.285
50,46.85,46.54,0.286
50,46.68,47.1,0.287
50,46.64,47.24,0.288
50,47.06,46.92,0.289
50,46.89,46.71,0.29
50,46.75,47.24,0.291
50,46.75,47.93,0.292
50,47.1,47.06,0.293
50,46.85,46.71,0.294
50,46.43,47.21,0.295
50,46.78,47.97,0.296
50,47.24,46.85,0.297
50,46.92,47.21,0.298
50,46.78,47.35,0.299
50,47.28,47.21,0.3
50,47.1,46.89,0.301
50,46.89,47.35,0.302
50,46.85,47.97,0.303
50,47.28,47.24,0.304
50,47.1,47.1,0.305
50,46.61,47.42,0.306
50,46.89,48,0.307
50,47.31,47.21,0.308
50,47.03,46.99,0.309
50,46.64,47.56,0.31
50,46.96,47.28,0.311
50,47.35,46.96,0.312
50,46.92,47.53,0.313
50,46.96,47.64,0.314
50,47.49,47.42,0.315
50,47.24,47.13,0.316
50,47.1,47.64,0.317
50,47.03,48.34,0.318
50,47.46,47.49,0.319
50,47.21,47.24,0.32
50,46.68,47.75,0.321
50,46.96,47.6,0.322
50,47.53,47.28,0.323
50,47.24,47.78,0.324
50,46.78,47.82,0.325
50,47.1,47.67,0.326
50,47.31,47.31,0.327
50,47.13,47.93,0.328
50,47.13,48.68,0.329
50,47.6,47.78,0.33
50,47.35,47.6,0.331
50,47.06,47.78,0.332
50,47.17,47.82,0.333
50,47.64,47.42,0.334
50,47.31,48.08,0.335
50,46.85,48.15,0.336
50,47.1,47.82,0.337
50,47.6,47.42,0.338
50,47.42,48.04,0.339
50,47.17,48.79,0.34
50,47.6,47.86,0.341
50,47.42,47.53,0.342
50,47.28,48.04,0.343
50,47.21,47.93,0.344
50,47.67,47.6,0.345
50,47.38,48.04,0.346
50,46.96,48.15,0.347
50,47.31,48,0.348
50,47.75,47.71,0.349
50,47.46,48.15,0.35
50,47.06,48.9,0.351
50,47.86,48.04,0.352
50,47.75,47.75,0.353
50,47.35,48.23,0.354
50,47.35,48.11,0.355
50,47.86,47.71,0.356
50,47.67,48.19,0.357
50,47.1,48.3,0.358
50,47.31,48.08,0.359
50,47.82,47.89,0.36
50,47.6,48.3,0.361
50,47.06,48.87,0.362
50,47.31,48.11,0.363
50,47.64,47.93,0.364
50,47.49,48.34,0.365
50,47.46,48.11,0.366
50,47.89,47.75,0.367
50,47.64,48.26,0.368
50,47.56,48.37,0.369
50,47.49,48.11,0.37
50,47.86,47.86,0.371
50,47.56,48.37,0.372
50,47.28,48.9,0.373
50,47.53,48.08,0.374
50,47.86,48.34,0.375
50,47.49,48.41,0.376
50,47.49,48.08,0.377
50,47.97,47.67,0.378
50,47.64,48.26,0.379
50,47.42,48.98,0.38
50,47.46,48.11,0.381
50,47.93,47.78,0.382
50,47.67,48.26,0.383
50,47.17,49.02,0.384
50,47.42,47.78,0.385
50,48,48.26,0.386
50,47.71,48.37,0.387
50,47.56,48.19,0.388
50,48,47.78,0.389
50,47.82,48.34,0.39
50,47.6,49.06,0.391
50,47.56,48.15,0.392
50,48,47.82,0.393
50,47.71,48.34,0.394
50,47.28,48.15,0.395
50,47.6,47.78,0.396
50,48.04,48.23,0.397
50,47.78,48.26,0.398
50,47.38,48.15,0.399
50,48.11,47.82,0.4
50,47.93,48.3,0.401
50,47.75,48.9,0.402
50,47.67,48.11,0.403
50,48.15,47.89,0.404
50,47.93,48.26,0.405
50,47.38,48.19,0.406
50,47.71,47.71,0.407
50,48.19,48.26,0.408
50,47.86,48.3,0.409
50,47.42,48.08,0.41
50,48.23,47.97,0.411
50,48.04,48.34,0.412
50,47.75,48.94,0.413
50,47.71,48.11,0.414
50,48.19,47.93,0.415
50,47.89,48.45,0.416
50,47.35,48.19,0.417
50,47.64,47.78,0.418
50,48.23,48.45,0.419
50,47.97,49.1,0.42
50,47.49,48.26,0.421
50,48.3,48,0.422
50,48.08,48.56,0.423
50,47.93,49.17,0.424
50,47.89,47.89,0.425
50,48.34,48.52,0.426
50,47.97,48.64,0.427
50,47.53,48.34,0.428
50,47.89,47.93,0.429
50,48.3,48.6,0.43
50,48,49.41,0.431
50,47.93,48.41,0.432
50,48.37,48.11,0.433
50,48.19,48.64,0.434
50,47.86,48.41,0.435
50,47.93,48.15,0.436
50,48.41,48.68,0.437
50,48.04,48.79,0.438
50,47.56,48.6,0.439
50,47.82,48.3,0.44
50,48.37,48.83,0.441
50,48.04,49.56,0.442
50,47.93,48.71,0.443
50,48.45,48.79,0.444
50,48.26,48.83,0.445
50,47.93,48.68,0.446
50,47.89,48.37,0.447
50,48.45,48.98,0.448
50,48.37,49.72,0.449
50,47.56,48.87,0.45
50,47.78,48.52,0.451
50,48.37,49.06,0.452
50,48.08,48.87,0.453
50,47.89,48.6,0.454
50,48.34,49.06,0.455
50,48.19,49.14,0.456
50,48.04,48.98,0.457
50,47.97,48.71,0.458
50,48.49,49.21,0.459
50,47.97,49.92,0.46
50,47.64,48.64,0.461
50,47.93,49.14,0.462
50,48.37,49.21,0.463
50,48.08,49.02,0.464
50,48.04,48.68,0.465
50,48.45,49.25,0.466
50,48.23,49.92,0.467
50,48,49.02,0.468
50,48,48.68,0.469
50,48.37,49.25,0.47
50,48.45,49.17,0.471
50,47.67,48.68,0.472
50,48,49.29,0.473
50,48.45,49.96,0.474
50,47.93,49.06,0.475
50,47.97,48.75,0.476
50,48.52,49.25,0.477
50,48.26,50,0.478
50,47.97,48.75,0.479
50,48.04,49.21,0.48
50,48.52,49.33,0.481
50,48.23,49.14,0.482
50,47.78,48.79,0.483
50,48.04,49.29,0.484
50,48.64,50.04,0.485
50,48.11,49.1,0.486
50,48.08,49.25,0.487
50,48.6,49.33,0.488
50,48.34,49.1,0.489
50,48.15,48.71,0.49
50,48.04,49.25,0.491
50,48.6,49.96,0.492
50,48.26,49.06,0.493
50,47.75,48.64,0.494
50,48.04,49.25,0.495
50,48.71,49.02,0.496
50,48.26,48.6,0.497
50,48.19,49.25,0.498
50,48.71,49.33,0.499
50,48.52,49.06,0.5
50,48.3,48.71,0.501
50,48.15,49.25,0.502
50,48.68,50,0.503
50,48.3,49.02,0.504
50,47.89,49.25,0.505
50,48.19,49.29,0.506
50,48.49,48.94,0.507
50,48.34,48.56,0.508
50,48.3,49.21,0.509
50,48.68,50,0.51
50,48.41,49.02,0.511
50,47.97,48.71,0.512
50,48.26,49.29,0.513
50,48.68,49.02,0.514
50,48.34,48.71,0.515
50,48,49.29,0.516
50,48.79,50.04,0.517
50,48.49,49.1,0.518
50,48.3,48.71,0.519
50,48.3,49.06,0.52
50,48.83,49.96,0.521
50,48.41,48.64,0.522
50,48,49.17,0.523
50,48.37,49.33,0.524
50,48.79,49.02,0.525
50,48.49,48.71,0.526
50,48.34,49.17,0.527
50,48.9,49.88,0.528
50,48.52,48.98,0.529
50,48.34,49.14,0.53
50,48.34,49.29,0.531
50,48.87,48.94,0.532
50,48.52,48.56,0.533
50,48.08,49.14,0.534
50,48.49,49.88,0.535
50,48.87,48.98,0.536
50,48.37,48.75,0.537
50,48.37,49.21,0.538
50,48.94,49.02,0.539
50,48.68,48.6,0.54
50,48.37,49.25,0.541
50,48.34,49.37,0.542
50,48.9,49.1,0.543
50,48.6,48.83,0.544
50,48.04,49.29,0.545
50,48.37,50,0.546
50,48.68,49.1,0.547
50,48.49,49.29,0.548
50,48.41,49.37,0.549
50,48.9,49.02,0.55
50,48.71,48.68,0.551
50,48.11,49.29,0.552
50,48.41,50,0.553
50,48.98,49.1,0.554
50,48.68,48.83,0.555
50,48.6,49.37,0.556
50,48.98,49.1,0.557
50,48.79,48.75,0.558
50,48.6,49.37,0.559
50,48.6,49.45,0.56
50,49.1,49.17,0.561
50,48.79,49.06,0.562
50,48.37,49.41,0.563
50,48.56,50,0.564
50,49.06,48.83,0.565
50,48.64,49.37,0.566
50,48.6,49.45,0.567
50,49.02,49.25,0.568
50,48.83,49.06,0.569
50,48.68,49.49,0.57
50,48.6,50.12,0.571
50,49.14,49.29,0.572
50,48.87,49.37,0.573
50,48.34,49.52,0.574
50,49.17,49.29,0.575
50,48.94,48.94,0.576
50,48.75,49.52,0.577
50,48.71,50.16,0.578
50,49.1,49.37,0.579
50,48.83,49.14,0.58
50,48.34,49.6,0.581
50,48.68,49.37,0.582
50,49.21,48.98,0.583
50,48.9,49.56,0.584
50,48.75,50.2,0.585
50,49.21,49.41,0.586
50,48.98,49.14,0.587
50,48.87,49.64,0.588
50,48.79,50.28,0.589
50,49.29,49.1,0.59
50,48.94,49.56,0.591
50,48.45,49.6,0.592
50,48.75,49.49,0.593
50,49.06,49.17,0.594
50,48.94,49.68,0.595
50,48.87,50.36,0.596
50,49.25,49.49,0.597
50,49.02,49.6,0.598
50,48.52,49.76,0.599
50,48.83,49.52,0.6
50,49.37,49.21,0.601
50,49.02,49.76,0.602
50,48.87,50.48,0.603
50,49.25,49.56,0.604
50,49.1,49.25,0.605
50,48.94,49.8,0.606
50,48.83,49.56,0.607
50,49.41,49.25,0.608
50,49.06,49.84,0.609
50,48.49,50.53,0.61
50,48.87,49.6,0.611
50,49.14,49.25,0.612
50,49.02,49.88,0.613
50,48.94,49.56,0.614
50,49.37,49.21,0.615
50,49.02,49.8,0.616
50,48.56,50.53,0.617
50,48.9,49.6,0.618
50,49.41,49.29,0.619
50,49.06,49.76,0.62
50,48.98,49.56,0.621
50,49.45,49.14,0.622
50,49.21,49.72,0.623
50,49.06,49.84,0.624
50,48.98,49.56,0.625
50,49.45,49.41,0.626
50,49.17,49.8,0.627
50,48.83,50.44,0.628
50,49.45,49.25,0.629
50,49.29,49.84,0.63
50,49.14,49.8,0.631
50,49.06,49.6,0.632
50,49.52,49.41,0.633
50,49.21,49.8,0.634
50,48.71,50.4,0.635
50,49.02,49.6,0.636
50,49.6,49.76,0.637
50,49.25,49.8,0.638
50,49.17,49.64,0.639
