target,right,left,
50,46.75,47.93,
50,47.1,47.06,
50,46.85,46.71,
50,46.43,47.21,
50,46.78,47.97,
50,47.24,46.85,
50,46.92,47.21,
50,46.78,47.35,
50,47.28,47.21,
50,47.1,46.89,
50,46.89,47.35,
50,46.85,47.97,
50,47.28,47.24,
50,47.1,47.1,
50,46.61,47.42,
50,46.89,48,
50,47.31,47.21,
50,47.03,46.99,
50,46.64,47.56,
50,46.96,47.28,
50,47.35,46.96,
50,46.92,47.53,
50,46.96,47.64,
50,47.49,47.42,
50,47.24,47.13,
50,47.1,47.64,
50,47.03,48.34,
50,47.46,47.49,
50,47.21,47.24,
50,46.68,47.75,
50,46.96,47.6,
50,47.53,47.28,
50,47.24,47.78,
50,46.78,47.82,
50,47.1,47.67,
50,47.31,47.31,
50,47.13,47.93,
50,47.13,48.68,
50,47.6,47.78,
50,47.35,47.6,
50,47.06,47.78,
50,47.17,47.82,
50,47.64,47.42,
50,47.31,48.08,
50,46.85,48.15,
50,47.1,47.82,
50,47.6,47.42,
50,47.42,48.04,
50,47.17,48.79,
50,47.6,47.86,
50,47.42,47.53,
50,47.28,48.04,
50,47.21,47.93,
50,47.67,47.6,
50,47.38,48.04,
50,46.96,48.15,
50,47.31,48,
50,47.75,47.71,
50,47.46,48.15,
50,47.06,48.9,
50,47.86,48.04,
50,47.75,47.75,
50,47.35,48.23,
50,47.35,48.11,
50,47.86,47.71,
50,47.67,48.19,
50,47.1,48.3,
50,47.31,48.08,
50,47.82,47.89,
50,47.6,48.3,
50,47.06,48.87,
50,47.31,48.11,
50,47.64,47.93,
50,47.49,48.34,
50,47.46,48.11,
50,47.89,47.75,
50,47.64,48.26,
50,47.56,48.37,
50,47.49,48.11,
50,47.86,47.86,
50,47.56,48.37,
50,47.28,48.9,
50,47.53,48.08,
50,47.86,48.34,
50,47.49,48.41,
50,47.49,48.08,
50,47.97,47.67,
50,47.64,48.26,
50,47.42,48.98,
50,47.46,48.11,
50,47.93,47.78,
50,47.67,48.26,
50,47.17,49.02,
50,47.42,47.78,
50,48,48.26,
50,47.71,48.37,
50,47.56,48.19,
50,48,47.78,
50,47.82,48.34,
50,47.6,49.06,
50,47.56,48.15,
50,48,47.82,
50,47.71,48.34,
50,47.28,48.15,
50,47.6,47.78,
50,48.04,48.23,
50,47.78,48.26,
50,47.38,48.15,
50,48.11,47.82,
50,47.93,48.3,
50,47.75,48.9,
50,47.67,48.11,
50,48.15,47.89,
50,47.93,48.26,
50,47.38,48.19,
50,47.71,47.71,
50,48.19,48.26,
50,47.86,48.3,
50,47.42,48.08,
50,48.23,47.97,
50,48.04,48.34,
50,47.75,48.94,
50,47.71,48.11,
50,48.19,47.93,
50,47.89,48.45,
50,47.35,48.19,
50,47.64,47.78,
50,48.23,48.45,
50,47.97,49.1,
50,47.49,48.26,
50,48.3,48,
50,48.08,48.56,
50,47.93,49.17,
50,47.89,47.89,
50,48.34,48.52,
50,47.97,48.64,
50,47.53,48.34,
50,47.89,47.93,
50,48.3,48.6,
50,48,49.41,
50,47.93,48.41,
50,48.37,48.11,
50,48.19,48.64,
50,47.86,48.41,
50,47.93,48.15,
50,48.41,48.68,
50,48.04,48.79,
50,47.56,48.6,
50,47.82,48.3,
50,48.37,48.83,
50,48.04,49.56,
50,47.93,48.71,
50,48.45,48.79,
50,48.26,48.83,
50,47.93,48.68,
50,47.89,48.37,
50,48.45,48.98,
50,48.37,49.72,
50,47.56,48.87,
50,47.78,48.52,
50,48.37,49.06,
50,48.08,48.87,
50,47.89,48.6,
50,48.34,49.06,
50,48.19,49.14,
50,48.04,48.98,
50,47.97,48.71,
50,48.49,49.21,
50,47.97,49.92,
50,47.64,48.64,
50,47.93,49.14,
50,48.37,49.21,
50,48.08,49.02,
50,48.04,48.68,
50,48.45,49.25,
50,48.23,49.92,
50,48,49.02,
50,48,48.68,
50,48.37,49.25,
50,48.45,49.17,
50,47.67,48.68,
50,48,49.29,
50,48.45,49.96,
50,47.93,49.06,
50,47.97,48.75,
50,48.52,49.25,
50,48.26,50,
50,47.97,48.75,
50,48.04,49.21,
50,48.52,49.33,
50,48.23,49.14,
50,47.78,48.79,
50,48.04,49.29,
50,48.64,50.04,
50,48.11,49.1,
50,48.08,49.25,
50,48.6,49.33,
50,48.34,49.1,
50,48.15,48.71,
50,48.04,49.25,
50,48.6,49.96,
50,48.26,49.06,
50,47.75,48.64,
50,48.04,49.25,
50,48.71,49.02,
50,48.26,48.6,
50,48.19,49.25,
50,48.71,49.33,
50,48.52,49.06,
50,48.3,48.71,
50,48.15,49.25,
50,48.68,50,
50,48.3,49.02,
50,47.89,49.25,
50,48.19,49.29,
50,48.49,48.94,
50,48.34,48.56,
50,48.3,49.21,
50,48.68,50,
50,48.41,49.02,
